GEOID,NAME,T2_EST1,T8_LE80,T8_LE50_CB_PCT,T8_LE80_CB_PCT,T8_LE30_CB_PCT,CB_RENT_LE80,CB_OWN_LE80,OWN_GAP_RATIO,AFF_DEFICIT,MED_HH_INC,POVERTY_PCT,UNEMP_PCT,CB_PCT,VACANCY_PCT,SFD_PCT,MED_HOME_VAL,HB_UNITS,OR_UNITS,TOTAL_UNITS,TOTAL_AMT_K,LOWMODPCT,LMI_ELIGIBLE,HAS_HOME_INVEST,HAS_HB_INVEST,NEED_SCORE,DISP_SCORE,INV_SCORE,LMI_SCORE
48439110205,Census Tract 1102.05,1915,730,80.0,82.19,54.55,510,90,0.85,0.84,69662.0,7.12,2.0,34.66,7.04,45.51,233600.0,,,,,,False,False,False,40.73,67.01,,0.0
48439114010,Census Tract 1140.10,2725,905,100.0,85.08,,100,675,0.13,0.75,103939.0,0.92,5.22,39.19,0.0,94.64,298900.0,,,,,,False,False,False,59.2,56.12,,0.0
48439114109,Census Tract 1141.09,3795,775,100.0,67.74,100.0,0,525,0.0,0.24,112055.0,3.6,3.1,17.29,0.63,96.67,249000.0,,,,,,False,False,False,67.45,32.23,,0.0
48439122702,Census Tract 1227.02,1285,670,96.05,77.61,100.0,475,50,0.9,0.78,51345.0,20.66,0.0,46.38,17.89,51.88,166000.0,,,,,,False,False,False,77.35,52.9,,0.0
48439111317,Census Tract 1113.17,1485,330,76.09,69.7,84.21,120,115,0.51,0.52,89337.0,9.39,2.52,22.81,14.55,88.5,331800.0,,,,,,False,False,False,40.41,27.5,,0.0
48439122701,Census Tract 1227.01,820,465,83.82,63.44,86.84,295,0,1.0,0.88,39756.0,22.77,8.69,36.55,0.73,44.78,170500.0,,,,,,False,False,False,58.64,87.86,,0.0
48439123302,Census Tract 1233.02,1565,510,36.71,50.98,13.21,230,30,0.88,0.97,85000.0,15.31,4.22,24.52,9.22,2.84,286300.0,,,,,,False,False,False,27.88,68.74,,0.0
48439111020,Census Tract 1110.20,2130,1410,91.52,79.79,87.83,1070,60,0.95,0.86,42112.0,21.25,13.54,52.96,4.14,54.59,138600.0,,,,,,False,False,False,79.61,77.6,,0.0
48439111572,Census Tract 1115.72,880,95,0.0,73.68,0.0,0,70,0.0,0.26,73158.0,3.55,1.74,18.79,0.0,59.34,189900.0,,,,,,False,False,False,6.19,34.79,,0.0
48439111571,Census Tract 1115.71,1265,670,92.42,58.96,100.0,235,155,0.6,0.69,57870.0,6.39,0.0,45.34,5.1,44.98,192500.0,,,,,,False,False,False,63.93,55.91,,0.0
48439111561,Census Tract 1115.61,1340,430,100.0,60.47,100.0,120,145,0.45,0.28,67484.0,24.96,9.54,28.55,0.0,100.0,185900.0,,,,,,False,False,False,75.39,44.79,,0.0
48439100101,Census Tract 1001.01,1575,910,58.7,35.71,63.16,150,175,0.46,0.49,51442.0,8.17,2.63,23.2,13.67,91.05,104300.0,30.0,1.0,31.0,243.14,55.93,True,True,True,38.8,25.11,80.71,100.0
48439111562,Census Tract 1115.62,1445,270,89.47,68.52,100.0,45,140,0.24,0.19,111250.0,6.12,11.15,22.32,0.0,96.89,204000.0,,,,,,False,False,False,52.48,37.18,,0.0
48439110907,Census Tract 1109.07,1340,485,64.86,39.18,81.82,55,140,0.28,0.61,87560.0,1.98,4.53,19.42,5.7,76.97,209600.0,0.0,0.0,0.0,0.0,28.88,False,False,False,29.13,39.77,10.87,39.64
48439113403,Census Tract 1134.03,890,325,9.09,13.85,100.0,0,45,0.0,0.31,77969.0,11.81,4.71,4.49,10.0,84.75,171200.0,1.0,7.0,8.0,131.86,31.1,False,True,True,42.12,13.42,33.79,42.69
48439111019,Census Tract 1110.19,1440,740,95.24,40.54,100.0,120,185,0.39,0.49,59035.0,8.29,9.24,22.45,13.68,96.64,142500.0,,,,,,False,False,False,69.97,23.1,,0.0
48439111318,Census Tract 1113.18,1990,795,65.85,47.17,75.51,70,310,0.18,0.53,83158.0,8.57,11.52,21.39,14.8,75.49,224500.0,,,,,,False,False,False,43.14,18.78,,0.0
48439111554,Census Tract 1115.54,1285,290,88.0,65.52,77.78,60,130,0.32,0.41,106969.0,6.68,0.43,20.82,6.94,100.0,215100.0,,,,,,False,False,False,40.56,27.9,,0.0
48439113940,Census Tract 1139.40,2295,280,0.0,57.14,,0,160,0.0,0.5,127447.0,0.17,2.76,15.52,8.28,93.28,266300.0,,,,,,False,False,False,6.31,23.69,,0.0
48439111023,Census Tract 1110.23,2025,775,100.0,74.19,100.0,275,300,0.48,0.39,80646.0,8.44,0.39,33.23,2.92,99.23,171500.0,,,,,,False,False,False,73.55,42.76,,0.0
48439104602,Census Tract 1046.02,1225,905,61.73,35.91,65.12,190,139,0.58,0.44,43867.0,28.42,8.43,26.66,13.63,89.41,68700.0,22.0,0.0,22.0,158.24,67.6,True,True,True,51.74,27.57,71.83,100.0
48439121612,Census Tract 1216.12,1265,400,64.52,57.5,37.14,50,180,0.22,0.35,86275.0,14.61,4.21,24.8,5.31,79.28,254400.0,,,,,,False,False,False,30.36,28.36,,0.0
48439114204,Census Tract 1142.04,2535,915,54.74,50.82,26.32,255,210,0.55,0.61,71359.0,10.04,3.01,23.33,8.9,82.33,204700.0,2.0,5.0,67.0,112.73,32.88,False,True,True,36.09,41.07,63.32,45.13
48439102700,Census Tract 1027,1650,545,85.71,71.56,76.67,255,130,0.66,0.8,80673.0,8.11,2.64,31.05,8.17,68.15,317100.0,5.0,0.0,5.0,26.14,26.23,False,True,True,45.94,54.75,38.59,36.0
48439104100,Census Tract 1041,1445,395,50.48,52.66,57.42,170,32,0.84,0.91,84574.0,7.75,1.96,18.09,11.69,74.36,279300.0,6.0,9.0,39.0,527.38,48.6,False,True,True,22.49,60.86,65.04,66.71
48439106521,Census Tract 1065.21,1755,595,81.72,69.75,100.0,335,85,0.8,0.7,77392.0,12.71,6.22,29.84,8.73,71.31,176000.0,,,,,,False,False,False,62.84,55.95,,0.0
48439123301,Census Tract 1233.01,690,170,100.0,100.0,100.0,160,15,0.91,1.0,99219.0,10.25,6.74,32.75,17.07,1.68,324000.0,,,,,,False,False,False,61.1,63.97,,0.0
48439106524,Census Tract 1065.24,1555,545,82.86,49.54,71.43,124,150,0.45,0.58,82500.0,3.03,5.85,20.5,1.08,69.29,206400.0,,,,,,False,False,False,36.26,53.26,,0.0
48439113223,Census Tract 1132.23,1295,650,80.88,76.92,57.69,365,140,0.72,0.74,54273.0,6.87,6.52,42.41,8.6,44.05,185800.0,,,,,,False,False,False,39.08,54.72,,0.0
48439104504,Census Tract 1045.04,1050,715,62.75,46.85,68.12,210,125,0.63,0.59,35678.0,31.77,4.94,33.37,8.52,71.39,95000.0,7.0,0.0,7.0,42.26,91.42,True,True,True,49.69,44.13,43.21,100.0
48439104505,Census Tract 1045.05,1640,1340,57.3,47.01,65.33,180,445,0.29,0.27,32280.0,33.29,7.49,39.98,13.04,84.0,87000.0,54.0,3.0,70.0,966.1,63.75,True,True,True,56.95,13.06,96.11,100.0
48439113005,Census Tract 1130.05,795,515,90.12,74.76,100.0,375,10,0.97,0.91,,21.43,0.82,51.63,0.0,32.66,155700.0,,,,,,False,False,False,71.36,89.9,,0.0
48439122001,Census Tract 1220.01,1035,565,65.57,38.94,88.89,95,125,0.43,0.25,53833.0,15.02,6.6,26.89,7.35,90.95,98800.0,22.0,9.0,31.0,436.6,68.79,True,True,True,49.45,26.18,77.36,100.0
